Movimentações entre 14/05/2018 e 16/05/2020:
-----------------------------------------------------------
Data         | Descrição                      | Valor
-----------------------------------------------------------
01/06/2018   | Loja de Ferragens              | R$ 18,45
01/08/2018   | Gas Company                    | R$ 45,00
01/08/2018   | Loja de Ferragens              | R$ 15,38
01/09/2018   | Spotify                        | R$ 10,69
01/10/2018   | Phone Company                  | R$ 89,46
01/11/2018   | Shell                          | R$ 34,87
01/11/2018   | Supermercado                   | R$ 43,54
01/12/2018   | Salário Quinzenal              | R$ 2.000,00
01/01/2019   | Pizzaria                       | R$ 32,91
01/01/2019   | Amazon                         | R$ 39,05
01/03/2019   | Supermercado                   | R$ 44,19
01/03/2019   | American Tavern                | R$ 64,11
01/04/2019   | Conta de água                  | R$ 35,00
01/04/2019   | Companhia de Energia           | R$ 60,00
01/07/2019   | Salário Quinzenal              | R$ 2.000,00
01/08/2019   | Amazon                         | R$ 50,21
01/10/2019   | Cartão de Crédito              | R$ 554,99
01/10/2019   | Cartão de Crédito              | R$ 309,81
01/10/2019   | Cartão de Crédito              | R$ 554,99
01/10/2019   | Loja de Ferragens              | R$ 17,38
01/11/2019   | Cartão de Crédito              | R$ 309,81
01/12/2019   | Starbucks                      | R$ 3,00
01/01/2020   | Provedor de Serviços de Internet | R$ 69,99
01/05/2020   | Shell                          | R$ 30,42
01/05/2020   | Thai Restaurant                | R$ 25,00
01/05/2020   | Restaurante de Brunch          | R$ 17,62
02/06/2018   | Cartão de Crédito              | R$ 154,13
02/07/2018   | Cartão de Crédito              | R$ 154,13
02/07/2018   | Gas Company                    | R$ 65,00
02/09/2018   | Barbershop                     | R$ 30,00
02/09/2018   | Spotify                        | R$ 10,69
02/10/2018   | Bojangles                      | R$ 10,66
02/11/2018   | Fancy Restaurant               | R$ 106,80
02/12/2018   | Shell                          | R$ 36,47
02/12/2018   | Phone Company                  | R$ 89,52
02/02/2019   | Cervejaria                     | R$ 14,00
02/03/2019   | American Tavern                | R$ 10,00
02/03/2019   | Companhia de Energia           | R$ 60,00
02/04/2019   | Salário Quinzenal              | R$ 2.000,00
02/04/2019   | Restaurante de Brunch          | R$ 8,00
02/04/2019   | Conta de água                  | R$ 35,00
02/08/2019   | Supermercado                   | R$ 35,95
02/08/2019   | Mexican Restaurant             | R$ 23,51
02/09/2019   | Starbucks                      | R$ 2,00
02/10/2019   | Starbucks                      | R$ 4,00
02/02/2020   | Cartão de Crédito              | R$ 765,37
02/02/2020   | Cartão de Crédito              | R$ 156,11
02/02/2020   | Cartão de Crédito              | R$ 765,37
02/02/2020   | Provedor de Serviços de Internet | R$ 74,99
02/02/2020   | American Tavern                | R$ 85,52
02/02/2020   | Posto de Gasolina              | R$ 32,21
02/03/2020   | Cartão de Crédito              | R$ 156,11
03/07/2018   | Starbucks                      | R$ 3,50
03/08/2018   | Posto de Gasolina              | R$ 34,90
03/08/2018   | Gas Company                    | R$ 52,00
03/09/2018   | Supermercado                   | R$ 20,72
03/09/2018   | Supermercado                   | R$ 5,09
03/09/2018   | Spotify                        | R$ 10,69
03/12/2018   | Supermercado                   | R$ 19,35
03/12/2018   | Phone Company                  | R$ 89,52
03/01/2019   | Amazon                         | R$ 45,75
03/02/2019   | Supermercado                   | R$ 22,50
03/02/2019   | Restaurante de Brunch          | R$ 8,49
03/03/2019   | Starbucks                      | R$ 3,50
03/03/2019   | Companhia de Energia           | R$ 60,00
03/04/2019   | Salário Quinzenal              | R$ 2.000,00
03/05/2019   | Cervejaria                     | R$ 19,50
